"metaboID","seqID","Experiment","ExpDay","day","type","FMT","FMT_input","Harvest_pi","Cdiff_infection","group","subgroup","status"
"AMS01","AMS01","human",NA,NA,"fecal",NA,NA,NA,NA,"human","human","human"
"AMS05","AMS05","human",NA,NA,"fecal",NA,NA,NA,NA,"human","human","human"
"c21_1835_1","c21_1835_1","HF9",21,21,"cecal","hFMT6","AMS001","d21","CDI","hFMT","hFMT2","colonized"
"c21_1835_3","c21_1835_3","HF9",21,21,"cecal","hFMT6","AMS001","d21","CDI","hFMT","hFMT2","colonized"
"c21_1836_2","c21_1836_2","HF9",21,21,"cecal","hFMT6","AMS001","d21","CDI","hFMT","hFMT2","colonized"
"c21_1836_3","c21_1836_3","HF9",21,21,"cecal","hFMT6","AMS001","d21","CDI","hFMT","hFMT2","colonized"
"c21_1837_1","c21_1837_1","HF9",21,21,"cecal","hFMT7","AMS005","d21","CDI","hFMT","hFMT3","colonized"
"c21_1837_2","c21_1837_2","HF9",21,21,"cecal","hFMT7","AMS005","d21","CDI","hFMT","hFMT3","colonized"
"c21_1839_1","c21_1839_1","HF9",21,21,"cecal","hFMT7","AMS005","d21","CDI","hFMT","hFMT3","colonized"
"c21_1839_2","c21_1839_2","HF9",21,21,"cecal","hFMT7","AMS005","d21","CDI","hFMT","hFMT3","colonized"
"c21_1840_1","c21_1840_1","HF9",21,21,"cecal","mFMT1","yWT","d21","CDI","mFMT","mFMT","cleared"
"c21_1840_2","c21_1840_2","HF9",21,21,"cecal","mFMT1","yWT","d21","CDI","mFMT","mFMT","cleared"
"c21_1901_3","c21_1901_3","HF10",21,21,"cecal","mFMT1","yWT","d21","CDI","mFMT","mFMT","cleared"
"c21_1901_4","c21_1901_4","HF10",21,21,"cecal","mFMT1","yWT","d21","CDI","mFMT","mFMT","cleared"
"cecal_d19_1210_3","cecal_19_1210_3","HF1",19,19,"cecal","hFMT1","D2_A","d21","noCDI","noCDI_hFMT","hFMT1","noCDI"
"cecal_d19_1212_3","cecal_19_1212_3","HF1",19,19,"cecal","hFMT1","D2_A","d21","noCDI","noCDI_hFMT","hFMT1","noCDI"
"cecal_d19_1210_2","cecal_d19_1210_2","HF1",19,19,"cecal","hFMT1","D2_A","d19","noCDI","noCDI_hFMT","hFMT1","noCDI"
"cecal_d19_1212_2","cecal_d19_1212_2","HF1",19,19,"cecal","hFMT1","D2_A","d19","noCDI","noCDI_hFMT","hFMT1","noCDI"
"cecal_d21_1199_2","cecal_d21_1199_2","HF1",21,21,"cecal","hFMT1","D2_A","d21","CDI","hFMT","hFMT1","colonized"
"cecal_d21_1199_1","cecal_d21_1199_4","HF1",21,21,"cecal","hFMT1","D2_A","d21","CDI","hFMT","hFMT1","colonized"
"cecal_d21_1200_3","cecal_d21_1200_3","HF1",21,21,"cecal","hFMT1","D2_A","d21","CDI","hFMT","hFMT1","colonized"
"cecal_d21_1200_4","cecal_d21_1200_4","HF1",21,21,"cecal","hFMT1","D2_A","d21","CDI","hFMT","hFMT1","colonized"
"cecal_d21_1203_1","cecal_d21_1203_1","HF1",21,21,"cecal","none","none","d21","CDI","noFMT","noFMT","colonized"
"cecal_d21_1203_4","cecal_d21_1203_4","HF1",21,21,"cecal","none","none","d21","CDI","noFMT","noFMT","colonized"
"cecal_d21_1205_3","cecal_d21_1205_3","HF1",21,21,"cecal","mFMT1","yWT","d21","CDI","mFMT","mFMT","cleared"
"cecal_d21_1207_2","cecal_d21_1207_2","HF1",21,21,"cecal","none","none","d21","CDI","noFMT","noFMT","colonized"
"cecal_d21_1207_4","cecal_d21_1207_4","HF1",21,21,"cecal","none","none","d21","CDI","noFMT","noFMT","colonized"
"cecal_d21_1209_3","cecal_d21_1209_3","HF1",21,21,"cecal","mFMT1","yWT","d21","CDI","mFMT","mFMT","cleared"
"cecal_d21_1209_4","cecal_d21_1209_4","HF1",21,21,"cecal","mFMT1","yWT","d21","CDI","mFMT","mFMT","cleared"
"cecal_d25_2935","cecal_d25_2935","GF2",25,4,"cecal","none",NA,"d4","CDI",NA,NA,NA
"cecal_d25_3739","cecal_d25_3739","GF2",25,4,"cecal","none",NA,"d4","CDI",NA,NA,NA
"cecal_d25_5925","cecal_d25_5925","GF2",25,4,"cecal","none",NA,"d4","CDI",NA,NA,NA
"cecal_d25_5942","cecal_d25_5942","GF2",25,4,"cecal","none",NA,"d4","CDI",NA,NA,NA
"cecal_d28_429","cecal_d28_429","GF3",28,7,"cecal",NA,NA,NA,"CDI",NA,NA,NA
"cecal_d28_448","cecal_d28_448","GF3",28,7,"cecal",NA,NA,NA,"CDI",NA,NA,NA
"cecal_d28_5505","cecal_d28_5505","GF3",28,7,"cecal",NA,NA,NA,"CDI",NA,NA,NA
"cecal_d28_5520","cecal_d28_5520","GF3",28,7,"cecal",NA,NA,NA,"CDI",NA,NA,NA
"cecal_d21_1216_4","cecal_d42_1216_4","HF2",42,42,"cecal","none","none","d42","CDI","noFMT","noFMT","colonized"
"cecal_d21_1217_1","cecal_d42_1217_1","HF2",42,42,"cecal","none","none","d42","CDI","noFMT","noFMT","colonized"
"cecal_d21_1217_3","cecal_d42_1217_3","HF2",42,42,"cecal","none","none","d42","CDI","noFMT","noFMT","colonized"
"D2_A","D2_A","human",NA,NA,"fecal",NA,NA,NA,NA,"human","human","human"
"healthy_cecal_1841_1","healthy_cecal_1841_1",NA,NA,NA,"cecal",NA,NA,NA,NA,"healthy","healthy","cleared"
"healthy_cecal_1880_1","healthy_cecal_1880_1",NA,NA,NA,"cecal",NA,NA,NA,NA,"healthy","healthy","cleared"
"healthy_cecal_1912_1","healthy_cecal_1912_1","HF10",NA,NA,"cecal",NA,NA,NA,NA,"healthy","healthy","cleared"
"healthy_cecal_1912_2","healthy_cecal_1912_2","HF10",NA,NA,"cecal",NA,NA,NA,NA,"healthy","healthy","cleared"
"healthy_cecal_1913_1","healthy_cecal_1913_1","HF10",NA,NA,"cecal",NA,NA,NA,NA,"healthy","healthy","cleared"
"healthy_cecal_1913_2","healthy_cecal_1913_2","HF10",NA,NA,"cecal",NA,NA,NA,NA,"healthy","healthy","cleared"
